"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410190800022012,"Block 2012, Block Group 2, Census Tract 800.02, Douglas County, Oregon",4,0,0,0,0,0,4,0,0,4
410190800023000,"Block 3000, Block Group 3, Census Tract 800.02, Douglas County, Oregon",1,0,0,0,0,0,1,0,0,1
410170017021009,"Block 1009, Block Group 1, Census Tract 17.02, Deschutes County, Oregon",10,0,0,0,0,0,10,0,0,10
410191200025029,"Block 5029, Block Group 5, Census Tract 1200.02, Douglas County, Oregon",1,0,0,0,0,0,1,0,0,1
410190500043016,"Block 3016, Block Group 3, Census Tract 500.04, Douglas County, Oregon",28,0,0,0,0,0,28,0,0,28
410079503003040,"Block 3040, Block Group 3, Census Tract 9503, Clatsop County, Oregon",18,0,0,0,0,0,18,0,0,18
410099708003007,"Block 3007, Block Group 3, Census Tract 9708, Columbia County, Oregon",2,0,0,0,0,0,2,0,0,2
410099708004001,"Block 4001, Block Group 4, Census Tract 9708, Columbia County, Oregon",5,0,0,0,0,0,5,0,0,5
410190800024001,"Block 4001, Block Group 4, Census Tract 800.02, Douglas County, Oregon",88,79,0,0,79,0,9,0,0,9
410190800024014,"Block 4014, Block Group 4, Census Tract 800.02, Douglas County, Oregon",72,0,0,0,0,0,72,0,0,72
410170011013029,"Block 3029, Block Group 3, Census Tract 11.01, Deschutes County, Oregon",7,0,0,0,0,0,7,0,0,7
410170007011023,"Block 1023, Block Group 1, Census Tract 7.01, Deschutes County, Oregon",4,0,0,0,0,0,4,0,0,4
410110003001004,"Block 1004, Block Group 1, Census Tract 3, Coos County, Oregon",8,0,0,0,0,0,8,0,0,8
410191300011022,"Block 1022, Block Group 1, Census Tract 1300.01, Douglas County, Oregon",17,0,0,0,0,0,17,0,0,17
410191300011023,"Block 1023, Block Group 1, Census Tract 1300.01, Douglas County, Oregon",1,0,0,0,0,0,1,0,0,1
410191300011027,"Block 1027, Block Group 1, Census Tract 1300.01, Douglas County, Oregon",9,0,0,0,0,0,9,0,0,9
410050221011016,"Block 1016, Block Group 1, Census Tract 221.01, Clackamas County, Oregon",4,0,0,0,0,0,4,0,0,4
410050221012000,"Block 2000, Block Group 2, Census Tract 221.01, Clackamas County, Oregon",3,0,0,0,0,0,3,0,0,3
410050221013012,"Block 3012, Block Group 3, Census Tract 221.01, Clackamas County, Oregon",11,0,0,0,0,0,11,0,0,11
410050222012005,"Block 2005, Block Group 2, Census Tract 222.01, Clackamas County, Oregon",32,0,0,0,0,0,32,0,0,32
410050222014000,"Block 4000, Block Group 4, Census Tract 222.01, Clackamas County, Oregon",11,0,0,0,0,0,11,0,0,11
410050212002011,"Block 2011, Block Group 2, Census Tract 212, Clackamas County, Oregon",14,0,0,0,0,0,14,0,0,14
410050213001001,"Block 1001, Block Group 1, Census Tract 213, Clackamas County, Oregon",7,0,0,0,0,0,7,0,0,7
410050221014015,"Block 4015, Block Group 4, Census Tract 221.01, Clackamas County, Oregon",5,0,0,0,0,0,5,0,0,5
410050221014020,"Block 4020, Block Group 4, Census Tract 221.01, Clackamas County, Oregon",3,0,0,0,0,0,3,0,0,3
410050221014023,"Block 4023, Block Group 4, Census Tract 221.01, Clackamas County, Oregon",14,0,0,0,0,0,14,0,0,14
410050221051004,"Block 1004, Block Group 1, Census Tract 221.05, Clackamas County, Oregon",7,0,0,0,0,0,7,0,0,7
410050221052006,"Block 2006, Block Group 2, Census Tract 221.05, Clackamas County, Oregon",6,0,0,0,0,0,6,0,0,6
