GEOID,HH,POP,HH_Occ,GQ_Inst,GQ_Non,GP
410239601002175,0,0,0,0,0,0
410239601002215,0,0,0,0,0,0
410279503011006,0,0,0,0,0,0
410290026001256,0,0,0,0,0,0
410290026001309,0,0,0,0,0,0
410290026001341,1,2,1,0,0,2
410359701001050,1,3,0,0,0,3
410359702011329,0,0,0,0,0,0
410359702011346,0,0,0,0,0,0
410359702012095,8,11,8,0,0,11
410192100001063,0,0,0,0,0,0
410192100001083,0,0,0,0,0,0
410192100001135,0,0,0,0,0,0
410192100001194,0,0,0,0,0,0
410239601002282,0,0,0,0,0,0
410239601002335,0,0,0,0,0,0
410239601002367,0,0,0,0,0,0
410279502022022,8,14,8,0,0,14
410279504001038,10,19,10,0,0,19
410290014032041,1,3,0,0,0,3
410290026001366,4,12,1,0,0,12
410290026001419,0,0,0,0,0,0
410319603032034,0,0,0,0,0,0
410333606023002,0,0,0,0,0,0
410192100005284,0,0,0,0,0,0
410219601001036,0,0,0,0,0,0
410259602002406,0,0,0,0,0,0
410259602002617,0,0,0,0,0,0
410259602002666,0,0,0,0,0,0
410290009022005,0,0,0,0,0,0
410290023002148,0,0,0,0,0,0
410290024001021,0,0,0,0,0,0
410290024002020,3,4,3,0,0,4
410290024002040,0,0,0,0,0,0
410333607012044,14,22,13,0,0,22
410333616012010,13,35,13,0,0,35
410333616012035,5,13,5,0,0,13
410333607012014,1,13,0,0,0,13
410333616011033,3,19,0,0,0,19
410191800001040,0,0,0,0,0,0
410191800002008,0,0,0,0,0,0
410191800002060,0,0,0,0,0,0
410219601001147,0,0,0,0,0,0
410219601001199,0,0,0,0,0,0
410239602011596,0,0,0,0,0,0
410259602002569,0,0,0,0,0,0
410259602002780,0,0,0,0,0,0
410290024002058,0,0,0,0,0,0
410290025001054,12,23,10,0,0,23
410290025001107,1,4,1,0,0,4
410379602002016,11,12,3,0,0,12
410379602003001,0,0,0,0,0,0
410390002002035,21,63,21,0,0,63
410390005001105,0,0,0,0,0,0
410390005002034,1,11,0,0,0,11
410390010023012,4,20,0,0,0,20
410359716004013,18,35,18,0,0,35
410379601003616,0,0,0,0,0,0
410379602004023,12,14,12,0,0,14
410390002003025,0,0,0,0,0,0
410390005002049,3,5,1,0,0,5
410390007081194,11,16,9,0,0,16
410390014001009,0,0,0,0,0,0
410390014001026,6,17,6,0,0,17
410110011011136,0,0,0,0,0,0
410110011012038,0,0,0,0,0,0
410170001001354,0,0,0,0,0,0
410170001001408,0,0,0,0,0,0
410170001001461,0,0,0,0,0,0
410190200002078,15,33,15,0,0,33
410190200002103,6,13,6,0,0,13
410110002001020,0,0,0,0,0,0
410110011013042,0,0,0,0,0,0
410110011013095,0,0,0,0,0,0
410110011013128,2,9,2,0,0,9
410139504022062,9,20,4,0,0,20
410159501001070,0,0,0,0,0,0
410170001001501,0,0,0,0,0,0
410170001001543,0,0,0,0,0,0
410170001001596,0,0,0,0,0,0
410170001001637,0,0,0,0,0,0
410190200002150,0,0,0,0,0,0
410190200003010,2,5,2,0,0,5
410110002002066,8,18,8,0,0,18
410110002002121,0,0,0,0,0,0
410110011013182,0,0,0,0,0,0
410110011013234,0,0,0,0,0,0
410159501001102,0,0,0,0,0,0
410159501001138,0,0,0,0,0,0
410159501001142,0,0,0,0,0,0
410159501001210,0,0,0,0,0,0
410170001001646,0,0,0,0,0,0
410190200004042,6,2,6,0,0,2
410110002002202,8,20,8,0,0,20
410110002003026,0,0,0,0,0,0
410110011013371,1,0,0,0,0,0
410110011021042,0,0,0,0,0,0
410290026002041,0,0,0,0,0,0
410290026002068,0,0,0,0,0,0
410333611021021,12,23,5,0,0,23
410359701001135,0,0,0,0,0,0
410333611014005,53,140,53,0,0,140
410359702012179,15,32,4,0,0,32
410192100001222,0,0,0,0,0,0
410192100001247,0,0,0,0,0,0
410192100001299,0,0,0,0,0,0
410192100001365,0,0,0,0,0,0
410239601002446,0,0,0,0,0,0
410239601002499,0,0,0,0,0,0
410239601002524,0,0,0,0,0,0
410279503022002,0,0,0,0,0,0
410290015004043,23,52,23,0,0,52
410290026002080,0,0,0,0,0,0
410290026002157,0,0,0,0,0,0
410290026002210,0,0,0,0,0,0
410333612011019,4,12,4,0,0,12
410333612012010,209,492,204,0,0,492
410359701001222,0,0,0,0,0,0
410319602011017,1,12,1,0,0,12
410333601002066,0,0,0,0,0,0
410192100001413,0,0,0,0,0,0
410192100001465,0,0,0,0,0,0
410239601002543,0,0,0,0,0,0
410239601002613,0,0,0,0,0,0
410239601002666,0,0,0,0,0,0
410192100001624,0,0,0,0,0,0
410239601002705,0,0,0,0,0,0
410239601002772,0,0,0,0,0,0
410239601003001,0,0,0,0,0,0
410333607032004,36,77,36,0,0,77
410333616014011,0,0,0,0,0,0
