"BLOCK","HH","POP","HH_Occ","GQ_Inst","GQ_Non","GP"
530110411053000,19,68,19,0,0,68
530110411053001,95,254,94,0,0,254
530110425002025,58,75,58,0,0,75
530110425002028,44,57,44,0,0,57
530110425002030,36,42,36,0,0,42
530110425002039,96,102,87,0,0,102
530110425002042,1,7,1,0,0,7
530110411054018,17,75,17,0,0,75
530110411071001,26,68,26,0,0,68
530110411071002,14,51,14,0,0,51
530110411071003,20,46,20,0,0,46
530110411071005,240,588,234,0,0,588
530110411071006,14,47,14,0,0,47
530110411071008,10,34,10,0,0,34
530110411071009,18,58,18,0,0,58
530110411071011,5,21,0,0,0,21
530110411071012,17,41,17,0,0,41
530110411071013,19,42,19,0,0,42
530110411071015,7,24,7,0,0,24
530110411071016,23,71,23,0,0,71
530110411071018,16,50,16,0,0,50
530110411071019,30,118,30,0,0,118
530110411071021,10,16,10,0,0,16
530110411071022,5,27,5,0,0,27
530110411072000,18,71,12,0,0,71
530110411072001,79,209,79,0,11,198
530110411072002,71,164,71,0,0,164
530110411072003,16,34,16,0,0,34
530110411072004,17,68,17,0,0,68
530110411072005,19,49,16,0,0,49
530110411072006,104,245,104,0,0,245
530110411072007,6,32,5,0,0,32
530110411072008,16,53,16,0,0,53
530110411072009,114,292,113,0,0,292
530110411072010,38,83,37,0,0,83
530110411101000,11,38,11,0,0,38
530110411101002,34,112,34,0,0,112
530110411101003,58,143,56,0,0,143
530110411101005,14,46,14,0,0,46
530110411101006,37,98,36,0,0,98
530110411101007,250,711,250,0,0,711
530110411101009,22,82,22,0,0,82
530110411102000,17,44,17,0,0,44
530110411102002,26,114,26,0,0,114
530110425002000,18,31,17,0,0,31
530110425002001,14,32,14,0,0,32
530110425002002,15,22,15,0,0,22
530110425002003,15,39,13,0,0,39
530110425002004,46,58,42,0,0,58
530110425002007,3,7,0,0,0,7
530110425002008,4,12,4,0,0,12
530110425002010,7,15,7,0,0,15
530110425002011,11,28,11,0,0,28
530110425002012,6,8,0,0,0,8
530110425002014,12,19,12,0,0,19
530110425002015,1,9,1,0,0,9
530110425002023,10,24,9,0,0,24
530110425002024,7,12,7,0,0,12
530110425002048,2,5,2,0,0,5
530110425002054,46,54,37,0,0,54
530110425002056,12,18,12,0,0,18
530110426011000,65,100,65,0,0,100
530110426011001,402,625,360,0,0,625
530110426011003,1,20,1,0,0,20
530110426011005,1,16,1,0,0,16
530110426011010,6,28,6,0,0,28
530110426011027,0,10,0,0,10,0
530110426011029,154,219,139,0,0,219
530110426011035,99,148,93,0,0,148
530110411102003,8,36,7,0,0,36
530110411102005,17,46,17,0,0,46
530110411102006,89,266,89,0,2,264
530110411102007,18,56,12,0,0,56
530110411102009,23,62,23,0,0,62
530110411102010,150,324,150,0,0,324
530110411102012,4,17,4,0,0,17
530110411102013,12,33,10,0,0,33
530110411102015,10,35,10,0,0,35
530110411102016,8,34,8,0,0,34
530110411102017,27,73,27,0,0,73
530110411102019,11,29,11,0,0,29
530110411102020,8,24,8,0,0,24
530110411102022,7,29,7,0,0,29
530110411102023,7,38,7,0,0,38
530110411102028,2,30,2,0,0,30
530110411102029,22,52,22,0,0,52
530110411103000,11,34,11,0,0,34
530110411103001,9,35,5,0,0,35
530110411103002,23,70,23,0,0,70
530110411103003,66,148,61,0,0,148
530110411103004,51,130,49,0,0,130
530110411103005,12,36,12,0,0,36
530110411103006,12,32,12,0,0,32
530110411103007,25,54,25,0,0,54
530110411103008,22,67,22,0,0,67
530110411103009,38,106,38,0,0,106
530110411103010,11,36,6,0,0,36
530110411103011,35,105,35,0,0,105
530110411104000,120,343,117,0,0,343
530110411104001,29,92,29,0,0,92
