"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
1321,0,0,2,1,0,3,0,0,2,2,2,0,2,4,0,0,0,6
1322,5,12,7,12,15,5,4,1,16,25,8,12,19,24,16,2,19,42
1323,3,11,4,8,10,6,3,0,7,31,1,6,13,20,11,1,8,37
1324,8,12,11,16,25,14,20,9,18,59,15,23,32,49,30,4,29,86
1325,5,13,6,11,16,6,5,0,16,25,9,12,17,27,16,2,13,49
1326,6,16,15,20,46,19,40,15,28,82,34,33,50,72,48,7,52,125
1327,0,3,3,1,2,1,1,0,0,10,0,1,4,4,3,0,3,8
1328,2,10,4,12,23,4,6,0,10,29,14,8,16,23,20,2,18,43
1329,9,40,16,31,66,16,24,1,40,103,27,33,63,81,52,7,44,159
1330,8,29,7,18,40,16,21,0,24,63,25,27,52,54,30,3,37,102
1331,22,53,3,13,46,40,43,0,29,119,22,50,96,82,38,4,50,170
1332,7,14,1,3,12,11,11,0,10,28,8,13,26,22,10,1,12,47
1333,2,2,2,5,0,0,0,0,6,1,2,2,5,4,2,0,3,8
1334,5,10,8,15,12,3,3,1,13,32,8,4,22,21,12,2,9,48
1335,5,18,3,8,20,10,12,0,16,32,13,15,30,28,16,2,18,58
1336,2,6,1,1,7,5,6,0,5,14,2,7,13,10,5,0,6,22
1337,6,15,0,2,11,13,10,0,11,28,13,5,24,22,10,1,10,47
1338,6,5,4,5,0,5,3,2,5,11,9,5,14,11,5,0,8,22
1339,6,3,4,7,0,4,2,1,8,15,3,1,13,9,5,0,5,22
1340,28,26,20,29,22,14,13,3,58,74,12,11,67,56,28,4,14,141
1341,5,2,2,3,2,6,2,0,2,8,6,6,10,9,3,0,6,16
1342,3,9,4,15,8,1,3,1,8,19,7,10,17,17,9,1,8,36
1343,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
